BE,KE,Exp,Comp_1,Comp_2,Comp_3,BG,envelope
289.024,1026.2530000000002,75.805,0.0,0.853999999999985,64.536,0.0,65.38999999999999
288.924,1026.373,60.547,0.0,1.2079999999999984,65.18,0.0,66.388
288.824,1026.4969999999998,74.18300000000002,0.0,1.6899999999999977,63.99300000000002,0.0,65.68300000000002
288.724,1026.617,63.92499999999998,0.0,2.3409999999999798,61.04299999999998,0.0,63.383999999999986
288.624,1026.735,53.387,0.0,3.2109999999999843,56.62899999999999,0.0,59.84
288.524,1026.854,58.96199999999999,0.0,4.359000000000009,51.144000000000005,0.0,55.502999999999986
288.424,1026.97,48.69999999999999,0.0,5.8629999999999995,45.000999999999976,0.0,50.86499999999998
288.324,1027.0849999999998,45.65899999999999,0.0,7.811000000000007,38.622000000000014,0.0,46.43299999999999
288.224,1027.1970000000001,39.56,0.0,10.295000000000016,32.372000000000014,0.0,42.667
288.124,1027.309,34.016999999999996,0.0010000000000047748,13.426999999999992,26.52199999999999,0.0,39.94800000000001
288.024,1027.423,45.41999999999999,0.0,17.32299999999998,21.275999999999982,0.0,38.599999999999994
287.924,1027.537,41.54499999999999,0.0020000000000095497,22.109999999999985,16.721000000000004,0.0,38.833
287.824,1027.6519999999998,45.44900000000001,0.0030000000000143245,27.912000000000006,12.878000000000014,0.0,40.792
287.724,1027.767,47.129999999999995,0.007000000000005002,34.843999999999994,9.734000000000009,0.0,44.584
287.624,1027.882,47.423,0.014000000000010004,43.00400000000002,7.228000000000009,0.0,50.247000000000014
287.524,1028.005,71.05700000000002,0.028999999999996362,52.47200000000001,5.268000000000001,0.0,57.77000000000001
287.424,1028.126,63.29999999999998,0.060000000000002274,63.275000000000006,3.769999999999982,0.0,67.10399999999998
287.324,1028.2469999999998,63.59900000000002,0.12000000000000455,75.345,2.6580000000000155,0.0,78.12200000000001
287.224,1028.374,83.34799999999998,0.2330000000000041,88.55799999999999,1.8410000000000082,0.0,90.63
287.124,1028.5049999999999,95.87900000000002,0.4410000000000025,102.697,1.2510000000000048,0.0,104.38900000000001
287.024,1028.6470000000002,128.42100000000002,0.8160000000000025,117.44500000000002,0.8389999999999986,0.0,119.09900000000002
286.924,1028.793,142.07899999999998,1.4799999999999898,132.383,0.5529999999999973,0.0,134.41599999999997
286.824,1028.942,152.961,2.6189999999999998,147.002,0.3569999999999993,0.0,149.97899999999998
286.724,1029.098,169.68399999999997,4.517999999999972,160.72499999999997,0.22799999999998022,0.0,165.46999999999997
286.624,1029.2559999999999,178.908,7.603000000000009,172.924,0.14300000000000068,0.0,180.67100000000002
286.524,1029.42,198.69400000000002,12.538999999999987,182.954,0.08799999999999386,0.0,195.582
286.424,1029.587,204.873,20.153999999999996,190.315,0.054000000000002046,0.0,210.522
286.324,1029.764,239.11599999999999,31.575000000000017,194.59500000000003,0.03200000000001069,0.0,226.202
286.224,1029.941,235.30400000000003,48.285,195.55,0.019000000000005457,0.0,243.85399999999998
286.124,1030.1219999999998,250.66299999999998,72.114,193.12199999999999,0.009999999999990905,0.0,265.24699999999996
286.024,1030.313,279.365,104.874,187.456,0.006000000000000227,0.0,292.336
285.924,1030.521,332.251,148.46099999999998,178.87300000000002,0.0030000000000143245,0.0,327.33799999999997
285.824,1030.751,399.048,204.633,167.843,0.0020000000000095497,0.0,372.477
285.724,1030.988,422.24,274.177,154.932,0.0010000000000047748,0.0,429.11
285.624,1031.245,484.61899999999997,356.35600000000005,140.73700000000002,0.0,0.0,497.094
285.524,1031.537,588.978,448.683,125.90700000000001,0.0009999999999763531,0.0,574.5899999999999
285.424,1031.8509999999999,658.081,546.337,110.99199999999999,0.0009999999999763531,0.0,657.328
285.324,1032.192,743.044,641.84,96.46300000000002,0.0,0.0,738.303
285.224,1032.553,801.9159999999999,726.194,82.697,0.0,0.0,808.89
285.124,1032.933,864.693,790.017,69.963,0.0,0.0,859.983
285.024,1033.3200000000002,883.0400000000001,824.4839999999999,58.43800000000002,0.0,0.0,882.92
284.924,1033.699,858.3190000000001,825.539,48.209,0.0,0.0,873.7489999999999
284.824,1034.0659999999998,821.085,793.071,39.29400000000001,0.0,0.0,832.366
284.724,1034.415,764.9449999999999,731.31,31.676999999999992,0.0,0.0,762.9870000000001
284.624,1034.739,689.336,647.919,25.25400000000002,0.0,0.0,673.173
284.524,1035.025,574.244,552.837,19.911,0.0,0.0,572.748
284.424,1035.277,466.618,455.09200000000004,15.528999999999996,0.0,0.0,470.62100000000004
284.324,1035.5059999999999,398.414,362.163,11.982,0.0,0.0,374.145
284.224,1035.702,296.288,279.25699999999995,9.146999999999991,0.0,0.0,288.405
